created_at,compensated_tds_value
2023-05-18 07:24:57+00:00,237.73
2023-05-18 07:24:57+00:00,237.73
2023-05-18 07:24:57+00:00,237.73
2023-05-18 07:24:57+00:00,237.73
2023-05-18 07:30:40+00:00,237.73
2023-05-18 07:30:40+00:00,237.73
2023-05-18 07:36:33+00:00,237.71
2023-05-18 07:36:33+00:00,237.71
2023-05-18 07:48:34+00:00,237.73
2023-05-18 07:48:34+00:00,237.73
2023-05-18 07:48:34+00:00,237.73
2023-05-18 07:54:41+00:00,237.66
2023-05-18 07:54:41+00:00,237.66
2023-05-18 07:54:41+00:00,237.66
2023-05-18 08:01:00+00:00,237.58
2023-05-18 08:07:13+00:00,237.53
2023-05-18 08:07:13+00:00,237.53
2023-05-18 08:07:13+00:00,237.53
2023-05-18 08:07:13+00:00,237.53
2023-05-18 08:07:13+00:00,237.53
2023-05-18 08:13:36+00:00,237.66
2023-05-18 08:20:05+00:00,237.67
2023-05-18 08:20:05+00:00,237.67
2023-05-18 08:20:05+00:00,237.67
2023-05-18 08:26:34+00:00,237.69
2023-05-18 08:26:34+00:00,237.69
2023-05-18 08:33:20+00:00,237.66
2023-05-18 08:33:20+00:00,237.66
2023-05-18 08:33:20+00:00,237.66
2023-05-18 08:33:20+00:00,237.66
2023-05-18 08:33:20+00:00,237.66
2023-05-18 08:40:12+00:00,237.69
2023-05-18 08:40:12+00:00,237.69
2023-05-18 08:40:12+00:00,237.69
2023-05-18 08:40:12+00:00,237.69
2023-05-18 08:40:12+00:00,237.69
2023-05-18 08:47:11+00:00,237.69
2023-05-18 08:47:11+00:00,237.69
2023-05-18 08:47:11+00:00,237.69
2023-05-18 08:47:11+00:00,237.69
2023-05-18 08:54:17+00:00,237.68
2023-05-18 08:54:17+00:00,237.68
2023-05-18 09:01:31+00:00,237.68
2023-05-18 09:08:48+00:00,237.68
2023-05-18 09:08:48+00:00,237.68
2023-05-18 09:08:48+00:00,237.68
2023-05-18 09:16:10+00:00,237.64
2023-05-18 09:23:37+00:00,237.67
2023-05-18 09:23:37+00:00,237.67
2023-05-18 09:31:02+00:00,237.68
2023-05-18 09:31:02+00:00,237.68
2023-05-18 09:31:02+00:00,237.68
2023-05-18 09:31:02+00:00,237.68
2023-05-18 09:38:42+00:00,237.62
2023-05-18 09:54:07+00:00,237.68
2023-05-18 09:54:07+00:00,237.68
2023-05-18 09:54:07+00:00,237.68
2023-05-18 09:54:07+00:00,237.68
2023-05-18 10:02:01+00:00,237.69
2023-05-18 10:02:01+00:00,237.69
2023-05-18 10:02:01+00:00,237.69
2023-05-18 10:02:01+00:00,237.69
2023-05-18 10:02:01+00:00,237.69
2023-05-18 10:10:04+00:00,237.63
2023-05-18 10:10:04+00:00,237.63
2023-05-18 10:18:17+00:00,237.66
2023-05-18 10:26:21+00:00,237.62
2023-05-18 10:26:21+00:00,237.62
2023-05-18 10:34:40+00:00,237.71
2023-05-18 10:34:40+00:00,237.71
2023-05-18 10:34:40+00:00,237.71
2023-05-18 10:34:40+00:00,237.71
2023-05-18 10:43:02+00:00,237.75
2023-05-18 10:43:02+00:00,237.75
2023-05-18 10:51:30+00:00,237.65
2023-05-18 10:51:30+00:00,237.65
2023-05-18 10:51:30+00:00,237.65
2023-05-18 10:51:30+00:00,237.65
2023-05-18 11:00:15+00:00,237.7
2023-05-18 11:08:53+00:00,237.67
2023-05-18 11:08:53+00:00,237.67
2023-05-18 11:08:53+00:00,237.67
2023-05-18 11:26:43+00:00,237.74
2023-05-18 11:26:43+00:00,237.74
2023-05-18 11:26:43+00:00,237.74
2023-05-18 11:26:43+00:00,237.74
2023-05-18 11:26:43+00:00,237.74
2023-05-18 11:26:43+00:00,237.74
2023-05-18 11:26:43+00:00,237.74
2023-05-18 11:35:38+00:00,237.71
2023-05-18 11:35:38+00:00,237.71
2023-05-18 11:35:38+00:00,237.71
2023-05-18 11:44:46+00:00,237.67
2023-05-18 12:03:31+00:00,237.71
2023-05-18 12:12:46+00:00,237.64
2023-05-18 12:22:23+00:00,237.71
2023-05-18 12:22:23+00:00,237.71
2023-05-18 12:22:23+00:00,237.71
2023-05-18 12:32:07+00:00,237.66
2023-05-18 12:32:07+00:00,237.66
2023-05-18 12:32:07+00:00,237.66
2023-05-18 12:32:07+00:00,237.66
2023-05-18 12:32:07+00:00,237.66
2023-05-18 12:41:45+00:00,237.62
2023-05-18 12:52:38+00:00,237.71
2023-05-18 12:52:38+00:00,237.71
2023-05-18 12:52:38+00:00,237.71
2023-05-18 12:52:38+00:00,237.71
2023-05-18 12:52:38+00:00,237.71
2023-05-18 12:52:38+00:00,237.71
